token_count,DSlash_presence,No_of_subdomain,ASNno,sec_sen_word_cnt,No_of_hyphen,avg_token_length,No_of_dots,Length_of_url,avg_path_token,No_of_delim,AT_presence,Unicode_presence,IPaddress_presence,Length_of_host,URL,host,avg_domain_token_length,path_token_count,path,largest_domain,domain_token_count,largest_path,No_of_query,largest_token
4,1,3,38040,0,0,3.75,2,20,0,0,0,0,0,13,http://www.apple.com,www.apple.com,3.6666666666666665,0,,5,3,0,1,5
3,1,2,27589,0,0,5.333333333333333,1,20,0,0,0,0,0,13,http://pichunter.com,pichunter.com,6.0,0,,9,2,0,1,9
3,1,2,-1,0,0,4.0,1,16,0,0,0,0,0,9,http://fin24.com,fin24.com,4.0,0,,5,2,0,1,5
3,1,2,15169,0,0,5.0,1,19,0,0,0,0,0,12,http://blogspot.com,blogspot.com,5.5,0,,8,2,0,1,8
4,1,3,38040,0,0,3.5,2,19,0,0,0,0,0,12,http://www.dell.com,www.dell.com,3.3333333333333335,0,,4,3,0,1,4
18,1,4,-1,0,9,6.166666666666667,3,131,6.066666666666666,0,0,0,0,17,http://stackoverflow.com/questions/8551735/how-do-i-run-python-code-from-sublime-text-24f7b84f1819343fd6c338b1d9d.222studio.com/UK/,stackoverflow.com,8.0,15,/questions/8551735/how-do-i-run-python-code-from-sublime-text-24f7b84f1819343fd6c338b1d9d.222studio.com/UK/,13,2,27,1,27
5,1,3,-1,0,0,4.2,2,28,6.0,0,0,0,0,13,http://www.baidu.com/zhidao/,www.baidu.com,3.6666666666666665,1,/zhidao/,5,3,6,1,6
5,1,3,-1,0,0,4.4,2,29,6.0,0,0,0,0,14,http://www.indeed.com/resume/,www.indeed.com,4.0,1,/resume/,6,3,6,1,6
2,1,2,-1,0,0,3.5,1,21,0,0,0,1,0,14,http://аррӏе.com,аррӏе.com,3.0,0,,3,1,0,1,4
9,1,8,-1,2,0,8.555555555555555,7,87,0,0,0,0,0,80,http://paypal.com.webscr.cmd.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8db2b2,paypal.com.webscr.cmd.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8db2b2,9.125,0,,36,8,0,1,36
3,1,2,-1,0,0,6.666666666666667,1,24,0,0,0,0,0,17,http://nikkeiss225jp.com,nikkeiss225jp.com,8.0,0,,13,2,0,1,13
3,1,2,-1,0,0,4.666666666666667,1,19,0,0,0,0,0,11,http://ass66ss.com/,ass66ss.com,5.0,0,/,7,2,0,1,7
5,1,3,-1,0,0,3.2,2,26,0,0,0,1,0,18,http://www.facebóók.com/,www.facebóók.com,3.0,0,/,5,4,0,1,5
15,1,4,36943,0,1,6.533333333333333,3,116,7.9,2,0,0,0,18,http://www.escortsx.co.za/~travelv/wp-content/themes/twentyten/images/headers/en/inetent_logonLogonredirectjsp=true/,www.escortsx.co.za,3.75,10,/~travelv/wp-content/themes/twentyten/images/headers/en/inetent_logonLogonredirectjsp=true/,8,4,29,1,29
9,1,4,-1,0,0,7.333333333333333,3,76,10.75,0,0,0,0,22,http://www.epconsulting.co.za/wp3/google/gd/cbf16ddc0357b71e547d47e105826fd8,www.epconsulting.co.za,4.75,4,/wp3/google/gd/cbf16ddc0357b71e547d47e105826fd8,12,4,32,1,32
